osmid,y,x,street_count,highway,ref,junction,railway,geometry
30689118,41.4207132,2.1762524,4,,,,,POINT (2.1762524 41.4207132)
30689119,41.4211813,2.1770576,3,,,,,POINT (2.1770576 41.4211813)
30689120,41.4213717,2.1773701,3,,,,,POINT (2.1773701 41.4213717)
30689122,41.426424,2.1870872,3,,,,,POINT (2.1870872 41.426424)
30689129,41.4254714,2.1917009,3,,,,,POINT (2.1917009 41.4254714)
30689130,41.4300535,2.1885786,3,,,,,POINT (2.1885786 41.4300535)
30689140,41.4228305,2.1773617,4,,,,,POINT (2.1773617 41.4228305)
30689170,41.4351715,2.2015798,3,,,,,POINT (2.2015798 41.4351715)
30689173,41.4354137,2.2049773,3,,,,,POINT (2.2049773 41.4354137)
30689175,41.4355125,2.2070931,4,,,,,POINT (2.2070931 41.4355125)
30689179,41.4222668,2.178765,3,,,,,POINT (2.178765 41.4222668)
30689242,41.4242665,2.1737578,4,,,,,POINT (2.1737578 41.4242665)
30689243,41.42355,2.1755276,4,,,,,POINT (2.1755276 41.42355)
30689244,41.4233257,2.1761319,4,,,,,POINT (2.1761319 41.4233257)
30689253,41.4386645,2.2063677,3,,,,,POINT (2.2063677 41.4386645)
30689276,41.4364057,2.2068887,4,,,,,POINT (2.2068887 41.4364057)
30689520,41.3990589,2.188164,4,,,,,POINT (2.188164 41.3990589)
30689522,41.3973815,2.1904297,4,,,,,POINT (2.1904297 41.3973815)
30689524,41.3960668,2.1922198,4,,,,,POINT (2.1922198 41.3960668)
30689525,41.3956734,2.1927486,4,,,,,POINT (2.1927486 41.3956734)
30689530,41.3918161,2.1978894,4,,,,,POINT (2.1978894 41.3918161)
30689531,41.3906478,2.199494,4,,,,,POINT (2.199494 41.3906478)
30689532,41.4035966,2.1889136,4,,,,,POINT (2.1889136 41.4035966)
30689533,41.4024344,2.190436,4,,,,,POINT (2.190436 41.4024344)
30689536,41.3998756,2.1938081,3,,,,,POINT (2.1938081 41.3998756)
30689544,41.3991682,2.1947456,4,,,,,POINT (2.1947456 41.3991682)
30689549,41.3945858,2.2007621,4,,,,,POINT (2.2007621 41.3945858)
30689550,41.39446,2.2009207,4,,,,,POINT (2.2009207 41.39446)
30689551,41.3937435,2.2018317,3,,,,,POINT (2.2018317 41.3937435)
30689552,41.3930685,2.2027302,4,,,,,POINT (2.2027302 41.3930685)
30884265,41.384839,2.1680497,1,,,,,POINT (2.1680497 41.384839)
30884299,41.3800006,2.1667052,3,,,,,POINT (2.1667052 41.3800006)
