u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,access,junction,ref,width,est_width,tunnel,bridge
26057388,559764757,0,550280513,tertiary,3,50,Carrer de Casanova,True,False,21.749155046869262,"LINESTRING (2.1608564 41.3838266, 2.1607336 41.3839201, 2.1606911 41.3839518, 2.1606726 41.3839653)",,,,,,,
26057389,559026424,0,328020785,tertiary,3,50,Carrer de Muntaner,True,False,19.15786796529751,"LINESTRING (2.1619691 41.3846778, 2.1620358 41.384623, 2.1620652 41.3845981, 2.1621048 41.3845673, 2.1621251 41.3845514)",,,,,,,
26057389,3314271774,0,532696011,primary,5,50,Gran Via de les Corts Catalanes,True,False,134.5409305704046,"LINESTRING (2.1619691 41.3846778, 2.1620328 41.3847272, 2.1621383 41.3848092, 2.1629502 41.3854285, 2.1629924 41.3854603, 2.1631006 41.3855399)",,,C-31,12,,,
26198831,30685338,0,"[316582576, 316582580]",primary,5,50,Gran Via de les Corts Catalanes,True,False,267.2087696265521,"LINESTRING (2.1563247 41.3804334, 2.1564317 41.3805146, 2.1572686 41.3811357, 2.1573129 41.3811667, 2.1574616 41.3812781, 2.1576061 41.3813872, 2.1582156 41.3818472, 2.1583982 41.3819822, 2.1584227 41.3820006, 2.1585319 41.382082, 2.1585938 41.3821292)",,,C-31,12,,,
26198831,30246772,0,905209182,residential,2,30,Carrer de Viladomat,True,False,18.81746872340497,"LINESTRING (2.1563247 41.3804334, 2.1564085 41.3803676, 2.1564226 41.3803563, 2.1564659 41.3803226, 2.1564803 41.3803109)",,,,,,,
26198833,26198831,0,"[545715324, 316582574]",primary,5,50,Gran Via de les Corts Catalanes,True,False,134.58305054626905,"LINESTRING (2.1551756 41.3795841, 2.1553228 41.379696, 2.1558928 41.3801225, 2.1559703 41.3801794, 2.1561336 41.3802957, 2.1561834 41.3803317, 2.1563247 41.3804334)",,,C-31,12,,,
26198833,4832743529,0,918438451,residential,2,30,Carrer de Calàbria,True,False,19.32827878100339,"LINESTRING (2.1551756 41.3795841, 2.1550899 41.3796515, 2.155067 41.3796691, 2.1550311 41.3796976, 2.1550156 41.3797098)",,,,,,,
26198844,2510589068,0,"[244057616, 545715325]",primary,5,50,Gran Via de les Corts Catalanes,True,False,135.1717840683237,"LINESTRING (2.1529122 41.3778687, 2.1530654 41.3779875, 2.1537072 41.378476, 2.1537135 41.3784808, 2.153876 41.3786007, 2.1539017 41.3786196, 2.1540544 41.3787307)",,,C-31,18,,,
26198844,4837543302,0,532436406,secondary,3,50,Carrer d'Entença,True,False,20.627069814506555,"LINESTRING (2.1529122 41.3778687, 2.152799 41.3779564, 2.1527566 41.3779881, 2.1527388 41.3780009)",,,,12,,,
30227025,30227032,0,295215797,tertiary,,30,Carrer Nou de la Rambla,True,False,62.21608142424705,"LINESTRING (2.1733456 41.3782059, 2.1729507 41.3778132, 2.1728957 41.3777597)",,,,,,,
